Timestamp,Angle,Voltage1,Voltage2
1764773918.1236928,1679,1160,1851
1764773918.2259579,1679,1167,1862
1764773918.3279378,1679,1156,1859
1764773918.429207,1679,1161,1862
1764773918.5317643,1679,1155,1847
1764773918.6336527,1679,1157,1849
1764773918.7359195,1679,1166,1855
1764773918.8380277,1679,1162,1850
1764773918.939304,1679,1165,1851
1764773919.0422597,1679,1166,1847
1764773919.1434858,1679,1154,1852
1764773919.245642,1679,1168,1843
1764773919.347233,1679,1159,1857
1764773919.450136,1679,1171,1851
1764773919.552056,1679,1159,1859
1764773919.6539176,1679,1164,1853
1764773919.7555335,1679,1154,1859
1764773919.8572905,1679,1152,1855
1764773919.9601727,1679,1158,1856
1764773920.0616748,1678,1166,1857
1764773920.1634512,1677,1183,1872
1764773920.2653935,1676,1163,1846
1764773920.3678982,1676,1168,1870
1764773920.4692733,1677,1166,1854
1764773920.5724087,1678,1168,1847
1764773920.6737845,1680,1171,1858
1764773920.7761319,1688,1182,1842
1764773920.8784266,1710,1217,1809
1764773920.9803169,1732,1237,1786
1764773921.0815923,1755,1271,1790
1764773921.1828434,1774,1292,1711
1764773921.2852123,1805,1330,1682
1764773921.3871634,1842,1375,1643
1764773921.4896767,1888,1424,1582
1764773921.5918589,1943,1505,1494
1764773921.6934679,1987,1565,1440
1764773921.7954643,2028,1610,1388
1764773921.8978527,2072,1671,1334
1764773921.999536,2113,1685,1279
1764773922.1021495,2163,1760,1202
1764773922.2034614,2216,1833,1130
1764773922.305407,2266,1913,1067
1764773922.4072335,2312,1991,997
1764773922.5091815,2342,2040,950
1764773922.611488,2376,2094,896
1764773922.713469,2415,2140,833
1764773922.815797,2440,2167,807
1764773922.917533,2463,2194,769
1764773923.019565,2469,2215,763
1764773923.1210997,2473,2224,752
1764773923.2236583,2478,2234,750
1764773923.3254144,2478,2251,752
1764773923.4271326,2478,2227,751
1764773923.5296102,2470,2229,759
1764773923.6319182,2423,2160,829
1764773923.7336752,2327,2018,967
1764773923.8358815,2224,1874,1124
1764773923.9370952,2139,1768,1229
1764773924.0393598,2055,1664,1345
1764773924.1416068,1965,1534,1461
1764773924.2437851,1893,1437,1561
1764773924.3459182,1822,1360,1661
1764773924.4476178,1768,1290,1717
1764773924.549584,1716,1215,1797
1764773924.6514392,1697,1189,1825
1764773924.7531352,1679,1168,1849
1764773924.8554804,1679,1184,1851
1764773924.9580545,1672,1168,1854
1764773925.0594997,1654,1137,1881
1764773925.162177,1653,1141,1875
1764773925.2640474,1653,1136,1876
1764773925.3657417,1654,1136,1875
1764773925.4676638,1656,1141,1875
1764773925.5694447,1661,1147,1872
1764773925.6715457,1681,1155,1858
1764773925.773385,1711,1199,1807
1764773925.876037,1760,1261,1734
1764773925.9774482,1817,1329,1670
1764773926.0795484,1883,1430,1583
1764773926.1830604,1972,1535,1459
1764773926.2850661,2083,1692,1313
1764773926.3869057,2203,1812,1156
1764773926.4889414,2298,1970,1015
1764773926.590729,2355,2057,923
1764773926.6932836,2393,2107,867
1764773926.7946925,2432,2166,816
1764773926.8970537,2440,2179,805
1764773926.9988375,2439,2179,810
1764773927.1005054,2425,2171,832
1764773927.2025757,2395,2115,858
1764773927.30552,2336,2056,961
1764773927.4053679,2239,1885,1094
1764773927.507046,2129,1753,1253
1764773927.6100554,2041,1638,1361
1764773927.7118435,1944,1520,1499
1764773927.8132777,1848,1413,1616
1764773927.9153938,1764,1281,1728
1764773928.0174549,1703,1202,1812
1764773928.1198828,1676,1168,1856
1764773928.2218516,1676,1168,1855
1764773928.3234673,1677,1171,1844
1764773928.4251292,1681,1194,1851
1764773928.527229,1696,1167,1829
1764773928.6300366,1739,1229,1776
1764773928.7322078,1799,1308,1687
1764773928.8336701,1870,1394,1593
1764773928.9360785,1951,1507,1488
1764773929.038304,2049,1648,1361
1764773929.1397004,2147,1746,1232
1764773929.2417495,2253,1888,1075
1764773929.3431635,2363,2075,915
1764773929.4455168,2440,2182,810
1764773929.5474942,2480,2224,751
1764773929.6497483,2522,2259,676
1764773929.752185,2555,2351,631
1764773929.853021,2562,2361,626
1764773929.9554236,2560,2335,625
1764773930.0570805,2540,2326,651
1764773930.1588993,2473,2197,751
1764773930.2609189,2358,2068,919
1764773930.3638124,2227,1872,1115
1764773930.4654367,2117,1734,1264
1764773930.5677545,2026,1639,1382
1764773930.6694705,1946,1535,1483
1764773930.7717113,1864,1415,1602
1764773930.8741446,1788,1318,1702
1764773930.9756975,1739,1260,1767
1764773931.0778108,1711,1215,1802
1764773931.1792903,1709,1215,1806
1764773931.2819307,1711,1214,1805
1764773931.3846092,1712,1220,1807
1764773931.4857337,1712,1216,1797
1764773931.5874753,1712,1223,1805
1764773931.689956,1712,1231,1817
1764773931.7915213,1712,1221,1806
1764773931.8937235,1712,1217,1802
1764773931.9959288,1712,1223,1808
1764773932.097489,1712,1226,1801
1764773932.1994243,1712,1245,1804
1764773932.3016658,1712,1200,1807
1764773932.4032323,1712,1217,1806
1764773932.505287,1712,1223,1807
1764773932.607697,1712,1225,1808
1764773932.7094586,1712,1229,1801
1764773932.8113775,1712,1216,1794
1764773932.9139183,1712,1222,1805
1764773933.015813,1712,1213,1801
